available_percent,available_filter,deep_cursor,arm,block,median_ms,sample_min_ms,sample_max_ms,vm_steps,fullscan_steps,sorts,autoindex_rows,reprepare,cache_hits,cache_misses,temp_spill_bytes,prepare_observation_ms,physical_read_bytes_12_samples,read_syscalls_12_samples,cache_bytes,censored
90%,true,true,control,2,7.460151,7.258483,10.729341999999999,802830,100054,0,0,1,836,1112,0,0.060809,0,13404,2102784,false
90%,true,true,store,2,7.475721,7.302722999999999,8.126622999999999,802830,100054,0,0,1,836,1112,0,0.091989,0,13404,2102784,false
90%,false,false,store,1,0.567703,0.545743,0.606403,13368,499,0,0,1,4313,0,0,0.067270,0,60,261888,false
90%,false,false,control,1,0.557943,0.526784,0.593633,13368,499,0,0,1,4313,0,0,0.051490,0,60,261888,false
90%,false,false,before,1,,,,,,,,,,,,,,,,true
90%,false,false,public,1,0.574093,0.542954,0.7276710000000001,,,,,,,,,,0,60,,false
90%,false,false,public,2,0.572713,0.546534,0.781405,,,,,,,,,,0,60,,false
90%,false,false,before,2,,,,,,,,,,,,,,,,true
90%,false,false,control,2,0.559023,0.5353629999999999,0.6257269999999999,13368,499,0,0,1,4313,0,0,0.054400,0,60,261888,false
90%,false,false,store,2,0.561254,0.539484,0.5972230000000001,13368,499,0,0,1,4313,0,0,0.050759,0,60,261888,false
90%,false,true,store,1,8.165407,7.746277999999999,13.625918,814370,100499,0,0,1,4255,1148,0,0.107118,0,13836,2102784,false
90%,false,true,control,1,8.188488,7.779227,13.829696,814370,100499,0,0,1,4255,1148,0,0.156378,0,13836,2102784,false
90%,false,true,before,1,,,,,,,,,,,,,,,,true
90%,false,true,public,1,8.078754,7.8034669999999995,13.388565999999999,,,,,,,,,,0,13836,,false
90%,false,true,public,2,7.958885,7.8152859999999995,8.260456,,,,,,,,,,0,13836,,false
90%,false,true,before,2,,,,,,,,,,,,,,,,true
90%,false,true,control,2,7.873836,7.7441569999999995,8.068133999999999,814370,100499,0,0,1,4255,1148,0,0.077249,0,13836,2102784,false
90%,false,true,store,2,7.962464,7.762927,8.138454999999999,814370,100499,0,0,1,4255,1148,0,0.065930,0,13836,2102784,false
100%,true,false,store,1,0.304526,0.193877,0.330986,2618,49,0,0,1,812,0,0,0.044539,0,60,118272,false
100%,true,false,control,1,0.193728,0.18792799999999998,0.230657,2618,49,0,0,1,812,0,0,0.043659,0,60,118272,false
100%,true,false,before,1,0.642412,0.612033,1.227696,14868,49,0,0,1,5712,0,0,0.081849,0,60,118272,false
100%,true,false,public,1,0.309106,0.299936,0.362675,,,,,,,,,,0,60,,false
100%,true,false,public,2,0.297717,0.198978,0.394706,,,,,,,,,,0,60,,false
100%,true,false,before,2,0.632522,0.608312,0.646732,14868,49,0,0,1,5712,0,0,0.060769,0,60,118272,false
100%,true,false,control,2,0.196958,0.189827,0.24606699999999998,2618,49,0,0,1,812,0,0,0.043490,0,60,118272,false
100%,true,false,store,2,0.192618,0.189788,0.248887,2618,49,0,0,1,812,0,0,0.046240,0,60,118272,false
100%,true,true,store,1,7.636038,7.251345000000001,8.672457,802720,100049,0,0,1,791,1112,0,0.107879,0,13404,2102784,false
100%,true,true,control,1,7.476751,7.355702000000001,7.707769,802720,100049,0,0,1,791,1112,0,0.065369,0,13404,2102784,false
100%,true,true,before,1,1915.739290,1887.5740990000002,1934.9474129999999,50814970,100049,0,0,1,20005691,117912,0,0.173018,0,1415004,2102784,false
100%,true,true,public,1,7.475362,7.288053,7.6622390000000005,,,,,,,,,,0,13404,,false
100%,true,true,public,2,7.423562,7.340372,7.829687,,,,,,,,,,0,13404,,false
